Algorithm,ARI Score,Duration,Root1,Root2,Sample size
K-Means,0.9047661441092919,0.07190179824829102,GO:0051128,GO:0061024,42
Agglomerative,0.8141392336751214,0.004140138626098633,GO:0051128,GO:0061024,42
DBSCAN,0.0,0.028332948684692383,GO:0051128,GO:0061024,42
HDBSCAN,0.0,0.04728388786315918,GO:0051128,GO:0061024,42
K-Means,1.0,0.007993221282958984,GO:0051128,GO:0006796,32
Agglomerative,1.0,0.0014262199401855469,GO:0051128,GO:0006796,32
DBSCAN,0.0,0.031061649322509766,GO:0051128,GO:0006796,32
HDBSCAN,0.894766047035399,0.0014629364013671875,GO:0051128,GO:0006796,32
K-Means,0.2805536542702867,0.0065670013427734375,GO:0051128,GO:0022607,44
Agglomerative,0.5146294371008466,0.002332925796508789,GO:0051128,GO:0022607,44
DBSCAN,0.0,0.052686214447021484,GO:0051128,GO:0022607,44
HDBSCAN,0.0,0.0020360946655273438,GO:0051128,GO:0022607,44
K-Means,0.8051166735704283,0.008703947067260742,GO:0051128,GO:0008104,40
Agglomerative,0.7153733875103554,0.0015108585357666016,GO:0051128,GO:0008104,40
DBSCAN,0.0,0.04163193702697754,GO:0051128,GO:0008104,40
HDBSCAN,0.4816320890661087,0.0075418949127197266,GO:0051128,GO:0008104,40
K-Means,0.6156982670744139,0.01385807991027832,GO:0051128,GO:0097435,29
Agglomerative,0.4095690532745165,0.0008199214935302734,GO:0051128,GO:0097435,29
DBSCAN,0.0,0.029011964797973633,GO:0051128,GO:0097435,29
HDBSCAN,0.0,0.004405975341796875,GO:0051128,GO:0097435,29
K-Means,1.0,0.06155705451965332,GO:0051128,GO:1901565,31
Agglomerative,1.0,0.0008718967437744141,GO:0051128,GO:1901565,31
DBSCAN,0.0,0.011282205581665039,GO:0051128,GO:1901565,31
HDBSCAN,0.4279803176023261,0.0015718936920166016,GO:0051128,GO:1901565,31
K-Means,0.2479489516864175,0.006742000579833984,GO:0051128,GO:0098662,33
Agglomerative,1.0,0.005491018295288086,GO:0051128,GO:0098662,33
DBSCAN,0.0,0.08156418800354004,GO:0051128,GO:0098662,33
HDBSCAN,0.37215777262180977,0.0024869441986083984,GO:0051128,GO:0098662,33
K-Means,0.09626846333246955,0.020805835723876953,GO:0051128,GO:0080135,31
Agglomerative,0.750397956539444,0.0011479854583740234,GO:0051128,GO:0080135,31
DBSCAN,0.0,0.0066220760345458984,GO:0051128,GO:0080135,31
HDBSCAN,0.0,0.0014641284942626953,GO:0051128,GO:0080135,31
K-Means,0.6772334293948127,0.08787298202514648,GO:0051128,GO:0006996,35
Agglomerative,1.0,0.007786989212036133,GO:0051128,GO:0006996,35
DBSCAN,0.0,0.008486032485961914,GO:0051128,GO:0006996,35
HDBSCAN,0.0,0.0022170543670654297,GO:0051128,GO:0006996,35
K-Means,0.914861778372844,0.015289068222045898,GO:0042127,GO:0061024,47
Agglomerative,1.0,0.0012080669403076172,GO:0042127,GO:0061024,47
DBSCAN,0.0,0.02348613739013672,GO:0042127,GO:0061024,47
HDBSCAN,0.6428045296527036,0.002385854721069336,GO:0042127,GO:0061024,47
K-Means,1.0,0.0644540786743164,GO:0042127,GO:0006796,37
Agglomerative,1.0,0.0033698081970214844,GO:0042127,GO:0006796,37
DBSCAN,0.0,0.04660606384277344,GO:0042127,GO:0006796,37
HDBSCAN,0.8919883230619526,0.0023298263549804688,GO:0042127,GO:0006796,37
K-Means,0.9183531780470024,0.015172958374023438,GO:0042127,GO:0022607,49
Agglomerative,1.0,0.0015501976013183594,GO:0042127,GO:0022607,49
DBSCAN,0.0,0.06152915954589844,GO:0042127,GO:0022607,49
HDBSCAN,0.5806720935086621,0.0023458003997802734,GO:0042127,GO:0022607,49
K-Means,0.826192400970089,0.008793830871582031,GO:0042127,GO:0008104,45
Agglomerative,0.826192400970089,0.0012280941009521484,GO:0042127,GO:0008104,45
DBSCAN,0.0,0.03780794143676758,GO:0042127,GO:0008104,45
HDBSCAN,0.6665461774805711,0.002177000045776367,GO:0042127,GO:0008104,45
K-Means,1.0,0.016108036041259766,GO:0042127,GO:0097435,34
Agglomerative,1.0,0.002505064010620117,GO:0042127,GO:0097435,34
DBSCAN,0.0,0.07419228553771973,GO:0042127,GO:0097435,34
HDBSCAN,0.0,0.0014820098876953125,GO:0042127,GO:0097435,34
K-Means,1.0,0.008939981460571289,GO:0042127,GO:1901565,36
Agglomerative,1.0,0.003171205520629883,GO:0042127,GO:1901565,36
DBSCAN,0.0,0.06813478469848633,GO:0042127,GO:1901565,36
HDBSCAN,0.895429899302866,0.0016460418701171875,GO:0042127,GO:1901565,36
K-Means,1.0,0.08132624626159668,GO:0042127,GO:0098662,38
Agglomerative,1.0,0.003981828689575195,GO:0042127,GO:0098662,38
DBSCAN,0.0,0.016880035400390625,GO:0042127,GO:0098662,38
HDBSCAN,1.0,0.0067768096923828125,GO:0042127,GO:0098662,38
K-Means,0.16356877323420074,0.023868083953857422,GO:0042127,GO:0080135,36
Agglomerative,1.0,0.0012879371643066406,GO:0042127,GO:0080135,36
DBSCAN,0.0,0.019672632217407227,GO:0042127,GO:0080135,36
HDBSCAN,0.0,0.0037360191345214844,GO:0042127,GO:0080135,36
K-Means,1.0,0.03231191635131836,GO:0042127,GO:0006996,40
Agglomerative,1.0,0.0008552074432373047,GO:0042127,GO:0006996,40
DBSCAN,0.0,0.011976957321166992,GO:0042127,GO:0006996,40
HDBSCAN,0.6471450647858303,0.0019142627716064453,GO:0042127,GO:0006996,40
K-Means,1.0,0.024146080017089844,GO:0061024,GO:0006796,40
Agglomerative,0.8997429305912596,0.0019130706787109375,GO:0061024,GO:0006796,40
DBSCAN,0.0,0.011638641357421875,GO:0061024,GO:0006796,40
HDBSCAN,0.6481318034716093,0.002711772918701172,GO:0061024,GO:0006796,40
K-Means,0.7605720610802243,0.012492179870605469,GO:0061024,GO:0008104,48
Agglomerative,0.8368625083709831,0.0034720897674560547,GO:0061024,GO:0008104,48
DBSCAN,0.0,0.05106711387634277,GO:0061024,GO:0008104,48
HDBSCAN,0.39022208171975026,0.002135038375854492,GO:0061024,GO:0008104,48
K-Means,1.0,0.01340794563293457,GO:0061024,GO:1901565,39
Agglomerative,0.7057556125863121,0.001764059066772461,GO:0061024,GO:1901565,39
DBSCAN,0.0,0.011087894439697266,GO:0061024,GO:1901565,39
HDBSCAN,0.6354058884394694,0.0018191337585449219,GO:0061024,GO:1901565,39
K-Means,0.29242569511025884,0.014368057250976562,GO:0061024,GO:0098662,41
Agglomerative,0.9024274155164208,0.0009622573852539062,GO:0061024,GO:0098662,41
DBSCAN,0.0,0.0313260555267334,GO:0061024,GO:0098662,41
HDBSCAN,0.21470796878694726,0.0025141239166259766,GO:0061024,GO:0098662,41
K-Means,0.8001953082299098,0.008207082748413086,GO:0061024,GO:0080135,39
Agglomerative,0.7086543082232675,0.00127410888671875,GO:0061024,GO:0080135,39
DBSCAN,0.0,0.06332612037658691,GO:0061024,GO:0080135,39
HDBSCAN,0.0,0.004539012908935547,GO:0061024,GO:0080135,39
K-Means,1.0,0.01575303077697754,GO:0006796,GO:0022607,42
Agglomerative,0.9042547132197983,0.005276918411254883,GO:0006796,GO:0022607,42
DBSCAN,0.0,0.05892300605773926,GO:0006796,GO:0022607,42
HDBSCAN,0.6787964058452979,0.0018401145935058594,GO:0006796,GO:0022607,42
K-Means,0.8947396109440696,0.007687807083129883,GO:0006796,GO:0008104,38
Agglomerative,0.8947396109440696,0.0016720294952392578,GO:0006796,GO:0008104,38
DBSCAN,0.0,0.019636869430541992,GO:0006796,GO:0008104,38
HDBSCAN,0.6939930354033662,0.0024733543395996094,GO:0006796,GO:0008104,38
K-Means,1.0,0.004896879196166992,GO:0006796,GO:0097435,27
Agglomerative,1.0,0.0013458728790283203,GO:0006796,GO:0097435,27
DBSCAN,0.0,0.01441502571105957,GO:0006796,GO:0097435,27
HDBSCAN,0.0,0.0021088123321533203,GO:0006796,GO:0097435,27
K-Means,0.4083645018701122,0.010973930358886719,GO:0006796,GO:1901565,29
Agglomerative,0.507305470608223,0.004839897155761719,GO:0006796,GO:1901565,29
DBSCAN,0.0,0.043272972106933594,GO:0006796,GO:1901565,29
HDBSCAN,0.311424638678596,0.0013287067413330078,GO:0006796,GO:1901565,29
K-Means,1.0,0.006825923919677734,GO:0006796,GO:0098662,31
Agglomerative,1.0,0.0010638236999511719,GO:0006796,GO:0098662,31
DBSCAN,0.0,0.026144027709960938,GO:0006796,GO:0098662,31
HDBSCAN,0.8442211055276382,0.0014300346374511719,GO:0006796,GO:0098662,31
K-Means,1.0,0.02503514289855957,GO:0006796,GO:0080135,29
Agglomerative,1.0,0.006044864654541016,GO:0006796,GO:0080135,29
DBSCAN,0.0,0.028684139251708984,GO:0006796,GO:0080135,29
HDBSCAN,0.8213552361396304,0.0029320716857910156,GO:0006796,GO:0080135,29
K-Means,1.0,0.009675741195678711,GO:0006796,GO:0006996,33
Agglomerative,1.0,0.005602836608886719,GO:0006796,GO:0006996,33
DBSCAN,0.0,0.04212689399719238,GO:0006796,GO:0006996,33
HDBSCAN,0.695079695079695,0.0019989013671875,GO:0006796,GO:0006996,33
K-Means,0.45172050000532826,0.011660099029541016,GO:0022607,GO:0008104,50
Agglomerative,0.6997517023838703,0.00362396240234375,GO:0022607,GO:0008104,50
DBSCAN,0.0,0.054908037185668945,GO:0022607,GO:0008104,50
HDBSCAN,0.5515710044862939,0.0038111209869384766,GO:0022607,GO:0008104,50
K-Means,0.9020661650543413,0.006042003631591797,GO:0022607,GO:1901565,41
Agglomerative,1.0,0.0016088485717773438,GO:0022607,GO:1901565,41
DBSCAN,0.0,0.0168609619140625,GO:0022607,GO:1901565,41
HDBSCAN,0.25266137110112047,0.0021140575408935547,GO:0022607,GO:1901565,41
K-Means,1.0,0.012311220169067383,GO:0022607,GO:0098662,43
Agglomerative,1.0,0.001177072525024414,GO:0022607,GO:0098662,43
DBSCAN,0.0,0.03817915916442871,GO:0022607,GO:0098662,43
HDBSCAN,0.49316301349978225,0.004330873489379883,GO:0022607,GO:0098662,43
K-Means,0.9020661650543413,0.0073239803314208984,GO:0022607,GO:0080135,41
Agglomerative,0.9020661650543413,0.004091024398803711,GO:0022607,GO:0080135,41
DBSCAN,0.0,0.053034067153930664,GO:0022607,GO:0080135,41
HDBSCAN,0.2867580544151416,0.003368854522705078,GO:0022607,GO:0080135,41
K-Means,0.5747746501602231,0.08448195457458496,GO:0008104,GO:0097435,35
Agglomerative,0.6775067750677507,0.003960132598876953,GO:0008104,GO:0097435,35
DBSCAN,0.0,0.05039501190185547,GO:0008104,GO:0097435,35
HDBSCAN,0.0,0.007948875427246094,GO:0008104,GO:0097435,35
K-Means,1.0,0.01381993293762207,GO:0008104,GO:1901565,37
Agglomerative,0.6939062415514662,0.0036039352416992188,GO:0008104,GO:1901565,37
DBSCAN,0.0,0.013725996017456055,GO:0008104,GO:1901565,37
HDBSCAN,0.0,0.0016257762908935547,GO:0008104,GO:1901565,37
K-Means,1.0,0.00810694694519043,GO:0008104,GO:0098662,39
Agglomerative,0.8974424347496703,0.006201028823852539,GO:0008104,GO:0098662,39
DBSCAN,0.0,0.06803202629089355,GO:0008104,GO:0098662,39
HDBSCAN,0.5366527549551383,0.0018508434295654297,GO:0008104,GO:0098662,39
K-Means,0.7898523286633851,0.011693000793457031,GO:0008104,GO:0080135,37
Agglomerative,0.6039571845604931,0.001219034194946289,GO:0008104,GO:0080135,37
DBSCAN,0.0,0.024595260620117188,GO:0008104,GO:0080135,37
HDBSCAN,0.5319642265650878,0.0024127960205078125,GO:0008104,GO:0080135,37
K-Means,1.0,0.05163168907165527,GO:0008104,GO:0006996,41
Agglomerative,0.7218850410567654,0.0018780231475830078,GO:0008104,GO:0006996,41
DBSCAN,0.0,0.030731201171875,GO:0008104,GO:0006996,41
HDBSCAN,0.42011601260383846,0.0024001598358154297,GO:0008104,GO:0006996,41
K-Means,1.0,0.02339482307434082,GO:0097435,GO:1901565,26
Agglomerative,1.0,0.002424955368041992,GO:0097435,GO:1901565,26
DBSCAN,0.0,0.03339219093322754,GO:0097435,GO:1901565,26
HDBSCAN,0.4582399264240961,0.036357879638671875,GO:0097435,GO:1901565,26
K-Means,0.4932975871313673,0.02060389518737793,GO:0097435,GO:0098662,28
Agglomerative,1.0,0.0007486343383789062,GO:0097435,GO:0098662,28
DBSCAN,0.0,0.03736233711242676,GO:0097435,GO:0098662,28
HDBSCAN,0.0,0.0032820701599121094,GO:0097435,GO:0098662,28
K-Means,1.0,0.029491901397705078,GO:0097435,GO:0080135,26
Agglomerative,1.0,0.001096963882446289,GO:0097435,GO:0080135,26
DBSCAN,0.0,0.058032989501953125,GO:0097435,GO:0080135,26
HDBSCAN,0.0,0.0020842552185058594,GO:0097435,GO:0080135,26
K-Means,1.0,0.011892080307006836,GO:1901565,GO:0098662,30
Agglomerative,1.0,0.0008456707000732422,GO:1901565,GO:0098662,30
DBSCAN,0.0,0.01153707504272461,GO:1901565,GO:0098662,30
HDBSCAN,0.8891907956185786,0.015293359756469727,GO:1901565,GO:0098662,30
K-Means,1.0,0.022487163543701172,GO:1901565,GO:0080135,28
Agglomerative,1.0,0.0034101009368896484,GO:1901565,GO:0080135,28
DBSCAN,0.0,0.027416229248046875,GO:1901565,GO:0080135,28
HDBSCAN,0.8240173809994075,0.03177809715270996,GO:1901565,GO:0080135,28
K-Means,1.0,0.008272886276245117,GO:1901565,GO:0006996,32
Agglomerative,1.0,0.0014290809631347656,GO:1901565,GO:0006996,32
DBSCAN,0.0,0.0679469108581543,GO:1901565,GO:0006996,32
HDBSCAN,0.7048581675904793,0.0014908313751220703,GO:1901565,GO:0006996,32
K-Means,1.0,0.006997108459472656,GO:0098662,GO:0080135,30
Agglomerative,1.0,0.005083799362182617,GO:0098662,GO:0080135,30
DBSCAN,0.0,0.04293990135192871,GO:0098662,GO:0080135,30
HDBSCAN,0.8891907956185786,0.002535104751586914,GO:0098662,GO:0080135,30
K-Means,1.0,0.014132976531982422,GO:0098662,GO:0006996,34
Agglomerative,1.0,0.0007958412170410156,GO:0098662,GO:0006996,34
DBSCAN,0.0,0.06538105010986328,GO:0098662,GO:0006996,34
HDBSCAN,0.5863707180088862,0.0024709701538085938,GO:0098662,GO:0006996,34
K-Means,1.0,0.008884906768798828,GO:0080135,GO:0006996,32
Agglomerative,1.0,0.0008702278137207031,GO:0080135,GO:0006996,32
DBSCAN,0.0,0.028627872467041016,GO:0080135,GO:0006996,32
HDBSCAN,0.0,0.002090930938720703,GO:0080135,GO:0006996,32
K-Means,0.8856622883367622,0.014436721801757812,GO:0007610,GO:0048589,35
Agglomerative,0.7781205505457998,0.0012829303741455078,GO:0007610,GO:0048589,35
DBSCAN,0.0,0.025437116622924805,GO:0007610,GO:0048589,35
HDBSCAN,0.0,0.0028858184814453125,GO:0007610,GO:0048589,35
K-Means,1.0,0.008591890335083008,GO:0007610,GO:0007165,46
Agglomerative,1.0,0.006019115447998047,GO:0007610,GO:0007165,46
DBSCAN,0.0,0.0630490779876709,GO:0007610,GO:0007165,46
HDBSCAN,0.08401949252226516,0.0020020008087158203,GO:0007610,GO:0007165,46
K-Means,1.0,0.0361330509185791,GO:0007610,GO:0008283,45
Agglomerative,1.0,0.002866983413696289,GO:0007610,GO:0008283,45
DBSCAN,0.0,0.028278112411499023,GO:0007610,GO:0008283,45
HDBSCAN,0.8378537735849056,0.00574803352355957,GO:0007610,GO:0008283,45
K-Means,0.8969356680624286,0.00969386100769043,GO:0048589,GO:0007165,39
Agglomerative,0.8969356680624286,0.0076253414154052734,GO:0048589,GO:0007165,39
DBSCAN,0.0,0.05769801139831543,GO:0048589,GO:0007165,39
HDBSCAN,0.0,0.001653909683227539,GO:0048589,GO:0007165,39
K-Means,0.6095847897814511,0.01308298110961914,GO:0048589,GO:0008283,38
Agglomerative,0.6131110391712529,0.001191854476928711,GO:0048589,GO:0008283,38
DBSCAN,0.0,0.0204620361328125,GO:0048589,GO:0008283,38
HDBSCAN,0.0,0.004171848297119141,GO:0048589,GO:0008283,38
K-Means,0.22620904836193448,0.008867740631103516,GO:0019637,GO:0006790,32
Agglomerative,0.22721371072448715,0.0017237663269042969,GO:0019637,GO:0006790,32
DBSCAN,0.0,0.04350018501281738,GO:0019637,GO:0006790,32
HDBSCAN,0.0,0.0014209747314453125,GO:0019637,GO:0006790,32
K-Means,1.0,0.01612114906311035,GO:0019637,GO:0033554,34
Agglomerative,1.0,0.0031659603118896484,GO:0019637,GO:0033554,34
DBSCAN,0.0,0.015618085861206055,GO:0019637,GO:0033554,34
HDBSCAN,0.7113555952207027,0.00928807258605957,GO:0019637,GO:0033554,34
K-Means,1.0,0.05529594421386719,GO:0019637,GO:0050793,36
Agglomerative,1.0,0.0016279220581054688,GO:0019637,GO:0050793,36
DBSCAN,0.0,0.057807207107543945,GO:0019637,GO:0050793,36
HDBSCAN,1.0,0.0016040802001953125,GO:0019637,GO:0050793,36
K-Means,1.0,0.007923126220703125,GO:0019637,GO:0006810,42
Agglomerative,1.0,0.0018079280853271484,GO:0019637,GO:0006810,42
DBSCAN,0.0,0.014141082763671875,GO:0019637,GO:0006810,42
HDBSCAN,0.8113175387762059,0.0027878284454345703,GO:0019637,GO:0006810,42
K-Means,1.0,0.017125844955444336,GO:0019637,GO:2000241,36
Agglomerative,1.0,0.001287221908569336,GO:0019637,GO:2000241,36
DBSCAN,0.0,0.008779048919677734,GO:0019637,GO:2000241,36
HDBSCAN,0.8511716276124129,0.0018110275268554688,GO:0019637,GO:2000241,36
K-Means,1.0,0.027142047882080078,GO:0019637,GO:0042391,33
Agglomerative,1.0,0.006490230560302734,GO:0019637,GO:0042391,33
DBSCAN,0.0,0.06029701232910156,GO:0019637,GO:0042391,33
HDBSCAN,1.0,0.0036919116973876953,GO:0019637,GO:0042391,33
K-Means,1.0,0.008795976638793945,GO:0019637,GO:0045165,27
Agglomerative,1.0,0.0016989707946777344,GO:0019637,GO:0045165,27
DBSCAN,0.0,0.04874897003173828,GO:0019637,GO:0045165,27
HDBSCAN,0.9256198347107438,0.0014467239379882812,GO:0019637,GO:0045165,27
K-Means,1.0,0.016072988510131836,GO:0019637,GO:0030154,58
Agglomerative,1.0,0.004130125045776367,GO:0019637,GO:0030154,58
DBSCAN,0.0,0.05316305160522461,GO:0019637,GO:0030154,58
HDBSCAN,1.0,0.0026748180389404297,GO:0019637,GO:0030154,58
K-Means,1.0,0.0091400146484375,GO:0019637,GO:0010035,32
Agglomerative,1.0,0.0013539791107177734,GO:0019637,GO:0010035,32
DBSCAN,0.0,0.07520914077758789,GO:0019637,GO:0010035,32
HDBSCAN,0.8017359524897213,0.002126932144165039,GO:0019637,GO:0010035,32
K-Means,1.0,0.007718801498413086,GO:0019637,GO:0010033,41
Agglomerative,0.8093932530694957,0.0006260871887207031,GO:0019637,GO:0010033,41
DBSCAN,0.0,0.02991795539855957,GO:0019637,GO:0010033,41
HDBSCAN,0.0,0.0015828609466552734,GO:0019637,GO:0010033,41
K-Means,1.0,0.005942106246948242,GO:0019637,GO:0051649,40
Agglomerative,1.0,0.0011801719665527344,GO:0019637,GO:0051649,40
