"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000145","G","arthritis,  rheumatoid|rheumatoid arthritis|anti tnf response","12","null","Homo sapiens","GAD","1.58e+3"
"GEX000143","G","arthritis,  rheumatoid","98","null","Homo sapiens","GAD","30.4"
"GEX000144","G","arthritis,  rheumatoid|rheumatoid arthritis","2","null","Homo sapiens","GAD","0.00"