Algorithm,p_within,p_between,ARI,NMI
louvain,0.1,0.1,0.019624689125028263,0.04860622787538472
louvain,0.2,0.1,0.12507446865331914,0.17969308229577366
louvain,0.2,0.2,-0.009581487842357407,0.007200260350942385
louvain,0.3,0.1,0.9599960816486464,0.9291252238549075
louvain,0.3,0.2,0.12102138499147476,0.19681302601834066
louvain,0.3,0.3,0.0008383056363726022,0.0225760702590861
louvain,0.4,0.1,1.0,1.0
louvain,0.4,0.2,0.5879170128557221,0.5529015135339818
louvain,0.4,0.3,0.0920342200636079,0.1327664437146677
louvain,0.4,0.4,-0.008234371728930722,0.010824841358116625
louvain,0.5,0.1,1.0,1.0
louvain,0.5,0.2,1.0,1.0
louvain,0.5,0.3,0.48556792635936663,0.47928699295625776
louvain,0.5,0.4,0.04874142816080154,0.06862821245270329
louvain,0.5,0.5,0.0060281780365714945,0.02290086988402156
louvain,0.6,0.1,1.0,1.0
louvain,0.6,0.2,1.0,1.0
louvain,0.6,0.3,1.0,1.0
louvain,0.6,0.4,0.4214222571456635,0.36723947098231063
louvain,0.6,0.5,0.057638449724455684,0.08082750674239166
louvain,0.6,0.6,-0.012439496015666376,0.003882163106014126
louvain,0.7,0.1,1.0,1.0
louvain,0.7,0.2,1.0,1.0
louvain,0.7,0.3,1.0,1.0
louvain,0.7,0.4,1.0,1.0
louvain,0.7,0.5,0.6595573292552778,0.5678809359134072
louvain,0.7,0.6,0.0472256180107152,0.060557950269224586
louvain,0.7,0.7,0.0029945646600348682,0.020360114816495387
louvain,0.8,0.1,1.0,1.0
louvain,0.8,0.2,1.0,1.0
louvain,0.8,0.3,1.0,1.0
louvain,0.8,0.4,1.0,1.0
louvain,0.8,0.5,1.0,1.0
louvain,0.8,0.6,0.8824127248460211,0.8079616479391557
louvain,0.8,0.7,0.015904572564612324,0.03846510041245911
louvain,0.8,0.8,-0.004241303072688715,0.011837278803959277
louvain,0.9,0.1,1.0,1.0
louvain,0.9,0.2,1.0,1.0
louvain,0.9,0.3,1.0,1.0
louvain,0.9,0.4,1.0,1.0
louvain,0.9,0.5,1.0,1.0
louvain,0.9,0.6,1.0,1.0
louvain,0.9,0.7,1.0,1.0
louvain,0.9,0.8,0.04651181861046762,0.0510829933298987
louvain,0.9,0.9,-0.01286458546991016,0.002631384761243403
louvain,1.0,0.1,1.0,1.0
louvain,1.0,0.2,1.0,1.0
louvain,1.0,0.3,1.0,1.0
louvain,1.0,0.4,1.0,1.0
louvain,1.0,0.5,1.0,1.0
louvain,1.0,0.6,1.0,1.0
louvain,1.0,0.7,1.0,1.0
louvain,1.0,0.8,1.0,1.0
louvain,1.0,0.9,1.0,1.0
louvain,1.0,1.0,0.0,0.0
girvan_newman,0.1,0.1,0.0,0.018639764244343528
girvan_newman,0.2,0.1,0.0,0.018639764244343528
girvan_newman,0.2,0.2,0.0,0.018639764244343528
girvan_newman,0.3,0.1,0.0,0.018639764244343528
girvan_newman,0.3,0.2,0.0,0.018639764244343528
girvan_newman,0.3,0.3,0.0,0.018639764244343528
girvan_newman,0.4,0.1,1.0,1.0
girvan_newman,0.4,0.2,0.0,0.018639764244343528
girvan_newman,0.4,0.3,0.0,0.018639764244343528
girvan_newman,0.4,0.4,0.0,0.018639764244343528
girvan_newman,0.5,0.1,1.0,1.0
girvan_newman,0.5,0.2,1.0,1.0
girvan_newman,0.5,0.3,0.0,0.018639764244343528
girvan_newman,0.5,0.4,0.0,0.018639764244343528
girvan_newman,0.5,0.5,0.0,0.018639764244343528
girvan_newman,0.6,0.1,1.0,1.0
girvan_newman,0.6,0.2,1.0,1.0
girvan_newman,0.6,0.3,0.0,0.018639764244343528
girvan_newman,0.6,0.4,0.0,0.018639764244343528
girvan_newman,0.6,0.5,0.0,0.018639764244343528
girvan_newman,0.6,0.6,0.0,0.018639764244343528
girvan_newman,0.7,0.1,1.0,1.0
girvan_newman,0.7,0.2,1.0,1.0
girvan_newman,0.7,0.3,1.0,1.0
girvan_newman,0.7,0.4,0.0,0.018639764244343528
girvan_newman,0.7,0.5,0.0,0.018639764244343528
girvan_newman,0.7,0.6,0.0,0.018639764244343528
girvan_newman,0.7,0.7,0.0,0.018639764244343528
girvan_newman,0.8,0.1,1.0,1.0
girvan_newman,0.8,0.2,1.0,1.0
girvan_newman,0.8,0.3,1.0,1.0
girvan_newman,0.8,0.4,0.0,0.018639764244343528
girvan_newman,0.8,0.5,0.0,0.018639764244343528
girvan_newman,0.8,0.6,0.0,0.018639764244343528
girvan_newman,0.8,0.7,0.0,0.018639764244343528
girvan_newman,0.8,0.8,0.0,0.018639764244343528
girvan_newman,0.9,0.1,1.0,1.0
girvan_newman,0.9,0.2,1.0,1.0
girvan_newman,0.9,0.3,1.0,1.0
girvan_newman,0.9,0.4,1.0,1.0
girvan_newman,0.9,0.5,0.0,0.018639764244343528
girvan_newman,0.9,0.6,0.0,0.018639764244343528
girvan_newman,0.9,0.7,0.0,0.018639764244343528
girvan_newman,0.9,0.8,0.0,0.018639764244343528
girvan_newman,0.9,0.9,0.0,0.018639764244343528
girvan_newman,1.0,0.1,1.0,1.0
girvan_newman,1.0,0.2,1.0,1.0
girvan_newman,1.0,0.3,1.0,1.0
girvan_newman,1.0,0.4,1.0,1.0
girvan_newman,1.0,0.5,1.0,1.0
girvan_newman,1.0,0.6,0.0,0.018639764244343528
girvan_newman,1.0,0.7,0.0,0.018639764244343528
girvan_newman,1.0,0.8,0.0,0.018639764244343528
girvan_newman,1.0,0.9,0.0,0.018639764244343528
girvan_newman,1.0,1.0,0.0,0.018639764244343528
spectral_clustering,0.1,0.1,-0.006464646464646465,0.002634255440327391
spectral_clustering,0.2,0.1,0.5135174845724361,0.4218168453401451
spectral_clustering,0.2,0.2,-0.007781529878138306,0.0012897889504124673
spectral_clustering,0.3,0.1,1.0,1.0
spectral_clustering,0.3,0.2,0.4037312701988052,0.3367051969554289
spectral_clustering,0.3,0.3,-9.79587838416986e-05,0.007229504798286565
spectral_clustering,0.4,0.1,1.0,1.0
spectral_clustering,0.4,0.2,0.9208012930401136,0.8782063702756283
spectral_clustering,0.4,0.3,0.18584994941748523,0.15874219849682203
spectral_clustering,0.4,0.4,-0.007255710815085356,0.0013932666874614062
spectral_clustering,0.5,0.1,1.0,1.0
spectral_clustering,0.5,0.2,1.0,1.0
spectral_clustering,0.5,0.3,0.9208012930401136,0.8782063702756283
spectral_clustering,0.5,0.4,0.1679993142885131,0.1313595392966043
spectral_clustering,0.5,0.5,0.0051387461459403904,0.01164450506997332
spectral_clustering,0.6,0.1,1.0,1.0
spectral_clustering,0.6,0.2,1.0,1.0
spectral_clustering,0.6,0.3,1.0,1.0
spectral_clustering,0.6,0.4,0.9208,0.8585594574581795
spectral_clustering,0.6,0.5,0.1679993142885131,0.1313595392966043
spectral_clustering,0.6,0.6,-0.007781529878138306,0.0012897889504124673
spectral_clustering,0.7,0.1,1.0,1.0
spectral_clustering,0.7,0.2,1.0,1.0
spectral_clustering,0.7,0.3,1.0,1.0
spectral_clustering,0.7,0.4,1.0,1.0
spectral_clustering,0.7,0.5,0.9208012930401136,0.8782063702756283
spectral_clustering,0.7,0.6,0.1515532411564015,0.12135760363826194
spectral_clustering,0.7,0.7,9.793959575431853e-05,0.00742391202620948
spectral_clustering,0.8,0.1,1.0,1.0
spectral_clustering,0.8,0.2,1.0,1.0
spectral_clustering,0.8,0.3,1.0,1.0
spectral_clustering,0.8,0.4,1.0,1.0
spectral_clustering,0.8,0.5,1.0,1.0
spectral_clustering,0.8,0.6,0.9208,0.8585594574581795
spectral_clustering,0.8,0.7,0.1679993142885131,0.1313595392966043
spectral_clustering,0.8,0.8,-0.009696969696969697,0.0002925308140970916
spectral_clustering,0.9,0.1,1.0,1.0
spectral_clustering,0.9,0.2,1.0,1.0
spectral_clustering,0.9,0.3,1.0,1.0
spectral_clustering,0.9,0.4,1.0,1.0
spectral_clustering,0.9,0.5,1.0,1.0
spectral_clustering,0.9,0.6,1.0,1.0
spectral_clustering,0.9,0.7,0.9599960816486464,0.9291252238549075
spectral_clustering,0.9,0.8,0.16808080808080808,0.13332664069753825
spectral_clustering,0.9,0.9,-0.00979587838416986,0.0002887154108162253
spectral_clustering,1.0,0.1,1.0,1.0
spectral_clustering,1.0,0.2,1.0,1.0
spectral_clustering,1.0,0.3,1.0,1.0
spectral_clustering,1.0,0.4,1.0,1.0
spectral_clustering,1.0,0.5,1.0,1.0
spectral_clustering,1.0,0.6,1.0,1.0
spectral_clustering,1.0,0.7,1.0,1.0
spectral_clustering,1.0,0.8,1.0,1.0
spectral_clustering,1.0,0.9,1.0,1.0
spectral_clustering,1.0,1.0,0.0,0.018639764244343528
